"","merged_taxon","total_read","HR04_01","HR04_02","HR04_03","HR04_04","HR07_01","HR07_02","HR07_03","HR07_04","IS01_01","IS01_02","IS01_03","IS01_04","IS02_01","IS02_02","IS02_03","IS02_04","KH01_01","KH01_02","KH01_03","KH01_04","KH02_01","KH02_02","KH02_03","KH02_04","KH03_01","KH03_02","KH03_03","KH03_04","KH05_01","KH05_02","KH05_03","KH07_01","KH07_02","KH07_04","KH08_04","KH09_01","KH09_02","KH09_03","KH09_04","KH10_01","KH10_02","KH10_03","KH10_04","KV01_01","KV01_02","KV01_03","KV01_04","NC01_01","NC01_02","NC01_03","NC01_04","NS01_01","NS01_02","NS01_03","NS01_04","NS02_02","NS02_03","NS02_04","NS04_01","NS04_02","NS04_03","NS04_04","NS06_01","NS06_02","NS06_03","NS06_04","NS10_01","NS10_02","NS10_03","NS10_04","NS12_01","NS12_02","NS12_03","NS12_04","NS38_01","NS38_02","NS38_03","NS38_04","NS43_01","NS43_02","NS43_03","NS43_04","NS45_01","NS45_02","NS45_03","NS45_04","NS47_04"
"28","Globothalamea;Oridorsalis_sp",2386,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,89,150,0,0,0,0,1278,458,0,0,0,327,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0
"29","Globothalamea;Praeglobobulimina_pupoides",274,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,65,0,0,0,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Globothalamea;Pullenia_sp",1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,330,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Globothalamea;Reophax_dentaliniformis",125118,3124,8660,4787,4728,293,22988,23045,4587,0,2910,793,1398,11,564,3614,408,4,3,273,520,0,0,0,110,0,0,0,123,0,0,0,0,0,253,291,0,0,0,707,4,0,36,1840,5623,0,4723,4825,35,12,5,963,0,0,0,1618,0,3,3026,0,0,0,4761,0,0,18,1389,0,0,0,2606,0,0,10,3483,0,1,58,344,8,0,91,1541,0,0,0,2405,1496
"32","Globothalamea;Reophax_helenae",17026,19,10,10,38,0,0,0,34,0,0,0,183,0,193,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,1,1,5,0,0,2,0,0,24,0,0,1,318,0,0,0,0,0,1,449,64,461,16,89,33,107,43,1280,2,719,1475,774,0,1563,7305,28,0,546,0,4,0,0,752,10,0,0,122,0,0,0,263,14,59
"33","Globothalamea;Reophax_pilulifera",176,1,24,14,9,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3,0,35,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Globothalamea;Reophax_scorpiurus",497,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,2,0,0,203,16,0,0,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,0,2,5,0,0,0,0,0,0,0,79,3,0,0,12,0,0,0,11,1,12
"35","Globothalamea;Reophax_sp",21283,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,393,0,0,0,5612,0,0,0,4,0,0,0,18,0,0,0,0,0,19,37,3,0,0,20,0,0,3,47,0,0,0,1606,0,0,0,7,0,8,71,1069,97,0,118,16,6,14,394,0,608,814,13,0,741,841,5695,0,181,353,1152,0,0,449,85,0,0,30,345,0,0,49,264,91
"36","Globothalamea;Robertina_arctica",9955,44,17,1,35,38,5,1,0,0,5460,921,54,0,2007,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,256,0,0,39,1021,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Globothalamea;Robertina_sp",1134,0,0,0,0,0,0,0,148,0,0,0,40,0,0,0,0,44,72,5,189,0,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,141,0,0,0,236,0,0,0,175,0,0,0,37,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0
"38","Globothalamea;Rosalina_sp",77349,0,1,110,0,0,0,0,0,0,0,0,0,100,40,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,49,0,121,3,2,4,0,74215,4,0,81,10,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"39","Globothalamea;Rotaliida_XX_sp",120627,622,116,36,83,1038,0,0,91,4,35,1,37,0,0,197,58,213,32,744,3473,1,35,577,25,41,3,406,24,477,1730,4209,3,0,1,7,11,187,0,3,356,59,127,58,0,1,105,106,0,84,64,3028,2,249,2552,133,10950,11695,1086,373,115,4267,848,10,239,111,379,0,24142,21598,232,0,5661,1178,475,0,17,4810,60,0,88,3694,94,3,48,6657,266,87
"40","Globothalamea;Rupertina_sp",12533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,8600,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1673,0,0,0,74,13,0,0,1775,0,315
"41","Globothalamea;Spiroplectammina_sp",3255,0,0,21,831,0,4,0,277,36,0,0,79,13,0,1,1,9,0,0,5,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,13,76,1555,0,0,14,1,0,0,1,0,0,0,2,0,0,40,0,0,0,20,0,0,0,95,0,0,0,30,0,0,0,100,0,0,0,2,0,0,0,0,0,0,0,2,0
"42","Globothalamea;Stainforthia_sp",80907,76,0,3,11376,0,1,0,7492,8801,12,1,20020,422,0,52,9808,3168,108,747,3574,0,9,3,8,0,9,6,93,8,2,406,0,4,8,30,0,0,0,7,33,4,0,41,7,38,32,3033,0,0,0,29,0,0,0,675,0,0,1839,0,1,0,401,0,579,952,2494,0,1,24,786,0,0,3,2261,0,0,0,435,0,5,0,189,0,1,13,249,528
"43","Globothalamea;Stetsonia_sp",2986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,131,0,0,3,10,0,0,12,0,0,274,562,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12
"44","Globothalamea;Textularia_gramen",269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Globothalamea;Textulariida_XX_sp",5161,93,0,0,325,0,0,0,85,0,0,0,109,925,0,1,162,0,0,0,160,0,0,0,815,0,0,0,933,0,0,0,0,0,108,89,0,0,0,86,0,0,0,166,7,5,0,59,0,5,1,173,0,0,0,154,0,0,47,0,0,0,39,0,0,0,1,0,0,3,94,0,0,0,35,0,0,0,170,0,0,0,22,0,0,0,35,254
"46","Globothalamea;Trifarina_earlandii",205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,3,0,0,0,13,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Globothalamea;Tritaxis_conica",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Globothalamea;Trochammina_sp",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Globothalamea;Uvigerina_mediterranea",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Monothalamea;",84089,405,3,0,12150,276,7,10,20183,0,5048,0,2166,17,2191,416,88,151,6,1,86,0,6,1,449,0,0,460,636,93,260,24,0,0,301,322,0,0,277,1260,527,73,847,2285,0,0,0,1014,769,30,215,126,0,0,0,1537,0,0,1724,0,0,0,1291,0,4512,3525,6517,0,0,0,1822,0,66,34,791,0,1,2525,127,0,0,975,828,32,0,1294,899,2410
"51","Monothalamea;Bathyallogromia_kalaallita",42784,0,566,26,21,0,160,248,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,163,0,0,0,0,0,0,0,0,0,0,66,32,6,3,0,9,14,0,26775,6780,7386,139,1,3,349,0,0,3,0,0,0,0,0,0,0,0,8,0,0
"52","Monothalamea;Bathyallogromia_sp",485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,15,20,0,0,350,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,32,4,0,0,50,2,0
"53","Monothalamea;Bathysiphon_argenteus",177,0,0,0,40,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,64,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15
"54","Monothalamea;Bathysiphon_sp",430,0,0,0,8,0,0,0,23,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,39,0,0,0,0,0,37,58,0,0,0,143,0,0,11,13,0,0,0,1,0,0,0,0,0,0,0,17,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,33,0,0,0,13,0,0,0,6,0
"55","Monothalamea;CladeA_XX_sp",17506,50,50,154,33,2,0,2,62,0,184,24,110,0,188,116,7,0,0,1,238,1,0,1217,4,0,0,2,7,163,10,0,0,0,17,33,0,6,0,26,0,5,30,105,90,1,156,4,4,0,10,122,0,0,830,96,0,210,201,0,1,34,724,0,210,382,823,0,124,244,183,0,0,42,5,0,29,2215,5,0,0,1593,51,1,0,6037,232,0
"56","Monothalamea;CladeB_XX_sp",16837,0,41,8,21,73,32,44,9,7573,32,0,47,196,1,104,8,14,5,24,43,0,0,6,9,0,0,530,18,0,0,732,0,0,2,5,0,0,0,0,6,391,403,53,0,7,41,22,2,0,10,31,0,0,128,742,5,5,51,1,3,22,17,0,217,124,1,0,93,585,586,0,32,64,63,0,5,413,34,0,7,460,765,1,0,1677,34,159
"57","Monothalamea;CladeC_XX_sp",11703,0,23,6,118,0,17,25,52,0,1146,185,21,0,593,3,0,5,7,0,0,0,0,2,2,0,0,319,24,0,0,0,0,0,4,40,0,14,0,231,0,0,1,0,0,0,6,352,0,0,101,101,0,0,2557,264,0,1,48,30,4,277,307,0,659,1326,231,0,780,789,21,0,249,236,15,0,0,11,9,3,0,0,83,0,0,10,241,154
"58","Monothalamea;CladeF_XX_sp",2666,75,7,4,15,73,3,5,6,0,305,19,18,0,546,3,6,4,0,0,62,0,0,0,307,0,0,0,147,234,0,0,0,0,236,50,0,0,0,185,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,38,0,0,45,0,0,178,15,0,0,0,0,0,0,0,17,0,0,6,1,0,0,0,18,0,0,0,5,0,0,0,16,0
"59","Monothalamea;CladeG_XX_sp",919,0,0,0,49,0,0,0,22,0,0,0,6,0,0,0,4,0,0,0,5,0,0,0,162,0,0,6,146,0,0,0,0,0,3,25,0,0,0,17,0,0,0,2,0,0,1,25,0,0,2,6,0,0,0,3,0,0,58,0,0,5,7,0,0,20,2,0,0,42,18,0,0,14,0,0,0,27,159,0,0,0,78,0,0,0,5,0
"60","Monothalamea;CladeM_XX_sp",51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,9
"61","Monothalamea;CladeV_XX_sp",17261,0,10,4,53,0,4,10,74,0,0,0,35,0,0,83,130,10,0,7,134,0,4,66,380,0,0,288,493,627,0,134,0,0,240,136,0,3,0,418,0,2,10,94,0,0,17,186,0,0,2,205,0,0,4,132,0,742,64,17,7,103,113,0,111,116,103,0,1596,1776,2272,0,273,397,171,0,1,557,316,3,4,2279,605,0,5,631,346,658
"62","Monothalamea;CladeY_XX_sp",149851,903,666,475,7578,1707,164,316,8053,9942,4758,453,4725,0,964,9129,1306,118,31,12358,3469,3,2,448,363,1,0,0,203,781,32,895,0,2,118,259,10,0,100,354,24,17,487,13037,33,13,229,6438,8,2,1972,9712,0,40,0,1532,2643,253,7559,8242,316,5048,4804,0,336,407,5565,0,509,427,913,0,173,131,639,0,0,149,1107,39,76,74,2763,0,6,228,2227,987
"63","Monothalamea;Conqueria_bolivari",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,8,0,0,28,6,0,0,0,1,0,0,26,0,0,0,1,0,0,0,4,0,0,0,3,0,0,24,20,0,0,2,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,5,0,0,0,2,0
"64","Monothalamea;Cylindrogullmia_alba",64985,445,1120,46881,8,0,0,0,417,0,34,52,17,0,0,0,31,0,0,13,84,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,17,191,0,0,14535,16,0,0,0,0,0,0,0,113,0,0,40,0,0,0,2,0,0,0,19,0,0,0,1,0,0,0,480,0,0,147,1,0,1,148,1,0,1,156,5,0
