"","ASV_id","merged_taxon","total_read","group","taxon1","taxon2","taxon3","taxon4","taxon5","mean_similarity","HR04_01","HR04_02","HR04_03","HR04_04","HR07_01","HR07_02","HR07_03","HR07_04","IS01_01","IS01_02","IS01_03","IS01_04","IS02_01","IS02_02","IS02_03","IS02_04","KH01_01","KH01_02","KH01_03","KH01_04","KH02_01","KH02_02","KH02_03","KH02_04","KH03_01","KH03_02","KH03_03","KH03_04","KH05_01","KH05_02","KH05_03","KH07_01","KH07_02","KH07_04","KH08_04","KH09_01","KH09_02","KH09_03","KH09_04","KH10_01","KH10_02","KH10_03","KH10_04","KV01_01","KV01_02","KV01_03","KV01_04","NC01_01","NC01_02","NC01_03","NC01_04","NS01_01","NS01_02","NS01_03","NS01_04","NS02_02","NS02_03","NS02_04","NS04_01","NS04_02","NS04_03","NS04_04","NS06_01","NS06_02","NS06_03","NS06_04","NS10_01","NS10_02","NS10_03","NS10_04","NS12_01","NS12_02","NS12_03","NS12_04","NS38_01","NS38_02","NS38_03","NS38_04","NS43_01","NS43_02","NS43_03","NS43_04","NS45_01","NS45_02","NS45_03","NS45_04","NS47_04"
"377","ASV871","Globothalamea;Cassidulina_sp",478,"benthic","Globothalamea","Rotaliida","Cassidulinidae","Cassidulina","Cassidulina_sp",0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"378","ASV894","Monothalamea;Bathyallogromia_sp",448,"benthic","Monothalamea","CladeC","Bathyallogromiidae","Bathyallogromia","Bathyallogromia_sp",0.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,32,4,0,0,50,0,0
"379","ASV9186","Globothalamea;Cassidulina_sp",3,"benthic","Globothalamea","Rotaliida","Cassidulinidae","Cassidulina","Cassidulina_sp",0.994,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380","ASV92","Monothalamea;CladeY_XX_sp",13907,"benthic","Monothalamea","CladeY","CladeY_X","CladeY_XX","CladeY_XX_sp",1,37,69,60,1095,18,0,0,1319,6806,202,72,405,0,366,7,135,0,0,0,215,0,0,0,0,0,0,0,0,149,5,0,0,0,0,0,0,0,0,0,0,0,0,918,0,6,7,752,8,0,0,0,0,0,0,0,0,0,289,0,0,0,773,0,47,10,5,0,22,0,80,0,0,0,6,0,0,0,0,0,13,0,0,0,6,5,0,0
"381","ASV93","Monothalamea;Bathyallogromia_kalaallita",35480,"benthic","Monothalamea","CladeC","Bathyallogromiidae","Bathyallogromia","Bathyallogromia_kalaallita",1,0,281,17,21,0,84,138,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,39,22,3,3,0,3,8,0,26775,3815,4009,71,1,3,169,0,0,3,0,0,0,0,0,0,0,0,1,0,0
"382","ASV936","Globothalamea;Epistominella_sp",367,"benthic","Globothalamea","Rotaliida","Pseudoparrellidae","Epistominella","Epistominella_sp",0.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,25,11,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"383","ASV937","Monothalamea;Monothalamea_XXX_sp",329,"benthic","Monothalamea","Monothalamea_X","Monothalamea_XX","Monothalamea_XXX","Monothalamea_XXX_sp",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,3,0,2,0,0,7,102,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"384","ASV94","Monothalamea;Psammophaga_sp",11935,"benthic","Monothalamea","CladeE","Psammophagidae","Psammophaga","Psammophaga_sp",1,0,0,0,2394,0,0,0,269,0,0,0,5924,0,0,0,11,0,0,0,17,0,0,0,5,0,0,0,4,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,241,0,0,0,5,0,0,0,40,0,0,887,2,0,5,348,0,179,646,128,0,35,0,531,0,0,1,177,0,0,0,4,0,0,0,6,0,0,0,0,69
"385","ASV97","Globothalamea;Robertina_arctica",9955,"benthic","Globothalamea","Robertinida","Robertinidae","Robertina","Robertina_arctica",1,44,17,1,35,38,5,1,0,0,5460,921,54,0,2007,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,256,0,0,39,1021,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"386","ASV973","Monothalamea;ENFOR7_XX_sp",422,"benthic","Monothalamea","ENFOR7","ENFOR7_X","ENFOR7_XX","ENFOR7_XX_sp",0.984,0,0,0,55,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,3,0
"387","ASV98","Monothalamea;CladeY_XX_sp",11416,"benthic","Monothalamea","CladeY","CladeY_X","CladeY_XX","CladeY_XX_sp",0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,282,0,0,2933,575,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1414,0,0,0,530,0,0,527,1586,0,0,0,318,0,11,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,402,0,0,0,199,27
"388","ASV988","Monothalamea;Shepheardellidae_X_sp",233,"benthic","Monothalamea","CladeG","Shepheardellidae","Shepheardellidae_X","Shepheardellidae_X_sp",0.985,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0
